,portfolio_return,portfolio_value
2021-07-12,0.0,5000.0
2021-07-13,0.00335599776435479,5016.779988821773
2021-07-14,0.0033134362172969702,5033.402769330946
2021-07-15,-0.0020091966094980328,5023.289673552568
2021-07-16,-0.0046407603581419665,4999.977789968081
2021-07-19,-0.012600786598107327,4936.974136841417
2021-07-20,0.011746909768291798,4994.968326555284
2021-07-21,0.004411825981752041,5017.005257596409
2021-07-22,0.006886886054814849,5051.556801141883
2021-07-23,0.009499939140557554,5099.5462833178
2021-07-26,-0.0042677829840642514,5077.7825264634075
2021-07-27,-0.0028580565307084055,5063.269936952132
2021-07-28,0.0006396486958560022,5066.5086509640705
2021-07-29,0.005322588266580737,5093.4755904622225
2021-07-30,-0.0033643934532109196,5076.339134531581
2021-08-02,-0.0037274279080606863,5057.417446370748
2021-08-03,0.006693293175491671,5091.268224050154
2021-08-04,0.0008030468527766117,5095.356750974119
2021-08-05,0.003930485697789128,5115.383977808956
2021-08-06,0.000460370429184056,5117.738949326262
2021-08-09,-0.0016549919674632423,5109.269132473553
2021-08-10,-0.0011777968079494927,5103.251451598371
2021-08-11,-0.0009038135276275882,5098.639063901532
2021-08-12,0.010408057711202946,5151.705993527213
2021-08-13,0.005813333495156727,5181.654578536584
2021-08-16,0.011690219854410318,5242.229259769289
2021-08-17,-0.002632762856376055,5228.42771328956
2021-08-18,-0.009740689221450582,5177.499223817587
2021-08-19,0.013382758355384229,5246.788444815128
2021-08-20,0.008730008109667953,5292.592950488076
2021-08-23,0.009036697293254934,5340.420510878052
2021-08-24,-0.0021162202269634474,5329.119004972441
2021-08-25,0.0038490865711903036,5349.631245370755
2021-08-26,0.0002931802596178002,5351.199651648132
2021-08-27,0.002454552988683842,5364.334454746129
2021-08-30,0.011497428412098528,5426.010506118127
2021-08-31,-0.003413861973646009,5407.486855182686
2021-09-01,-0.013622660360737022,5333.822498349382
2021-09-02,0.004032797865157415,5355.332726333853
2021-09-03,0.0026951383604404107,5369.766088997517
2021-09-07,-0.008979321684953884,5321.549231911452
2021-09-08,0.004482538205194479,5345.403279654319
2021-09-09,-0.007935486445575162,5302.984904382489
2021-09-10,-0.004438878799154352,5279.44559711819
2021-09-13,-0.007035533288824386,5242.301881873128
2021-09-14,-0.0028415319576674636,5227.405713544045
2021-09-15,0.013496005490946414,5297.95480975744
2021-09-16,-0.0001830559983123526,5296.9849873507255
2021-09-17,-0.00895303180977064,5249.560912263098
2021-09-20,-0.0152788151013749,5169.353841721225
2021-09-21,0.0021207856458663544,5180.316933147151
2021-09-22,-0.0029499507551808257,5165.035253298138
2021-09-23,0.010598989748009068,5219.77940899595
2021-09-24,-0.005717465496673575,5189.935500324768
2021-09-27,-0.014698972047327341,5113.648783478063
2021-09-28,-0.026878981942577596,4976.199110166272
2021-09-29,0.0031368005387490223,4991.808454215964
2021-09-30,-0.009477955700242749,4944.496314822808
2021-10-01,0.003235106068737388,4960.492284857742
2021-10-04,-0.023171138463275866,4845.552031279291
2021-10-05,0.011527129649322954,4901.407337766388
2021-10-06,0.004211227875030537,4922.04828097407
2021-10-07,0.00879618202277071,4965.343513578383
2021-10-08,-0.003625133566771347,4947.34348013676
2021-10-11,-0.004702027901041714,4924.080933057121
2021-10-12,-0.005813727213012978,4895.453669737529
2021-10-13,0.007735004766656409,4933.320027207895
2021-10-14,0.022797805499274026,5045.788897653854
2021-10-15,0.00944906754559802,5093.466897768614
2021-10-18,0.010803429927611845,5148.493810487268
2021-10-19,0.015983840602131018,5230.786514895155
2021-10-20,0.00011590573534286204,5231.392793052585
2021-10-21,0.004359209838277088,5254.197531983951
2021-10-22,0.005203166026474539,5281.535994078757
2021-10-25,0.0053067314534261684,5309.563687260937
2021-10-26,-0.001421502565343541,5302.0161288586405
2021-10-27,-0.01684617240964923,5212.6974510331465
2021-10-28,0.009021328934441679,5259.722909374642
2021-10-29,0.00664882242674226,5294.693873012942
2021-11-01,-0.005841193396009005,5263.76654212801
2021-11-02,0.007190489573444954,5301.61560056623
2021-11-03,0.009939041316917177,5354.30857706667
2021-11-04,0.006555317314025425,5389.40776878655
2021-11-05,-0.0020257895422874004,5378.48996288942
2021-11-08,0.004245114411727998,5401.322268144216
2021-11-09,0.00035023232194847896,5403.213985783779
2021-11-10,-0.010460310696447251,5346.694688733091
2021-11-11,0.0007202405442819984,5350.545595025815
2021-11-12,0.012780977955146147,5418.930800323844
2021-11-15,-0.0026333049502847727,5404.6611030221
2021-11-16,0.011160291607178402,5464.978696969802
2021-11-17,0.0008058493806751108,5469.382646668158
2021-11-18,0.00422129941648035,5492.470548443045
2021-11-19,0.007479336332917786,5533.550582973496
2021-11-22,-0.00929546601775335,5482.113651571946
2021-11-23,-0.013262058835122954,5409.4095377839685
2021-11-24,-0.0006027003507915558,5406.149284757971
2021-11-26,-0.018161766149312697,5307.964065679923
2021-11-29,0.02271841814620173,5428.552612829052
2021-11-30,-0.009642186154571806,5376.209497986268
2021-12-01,-0.003943833495429428,5355.006622889663
2021-12-02,0.009153982912037624,5404.026262009444
2021-12-03,-0.0203092426966024,5294.274581115481
2021-12-06,0.010937023602632384,5352.178187167959
2021-12-07,0.028181751539317384,5503.0119430328805
2021-12-08,0.00931024890221003,5554.246353934352
2021-12-09,-0.010063442460994925,5498.351515337343
2021-12-10,0.019139106767783437,5603.585052036188
2021-12-13,-0.007294616689712284,5562.709046993383
2021-12-14,-0.023909940106294766,5429.705006851027
2021-12-15,0.021331471837340597,5545.528606289737
2021-12-16,-0.02255995392960689,5420.421736416523
2021-12-17,-0.010530981243587648,5363.339376777986
2021-12-20,-0.010376552511546483,5307.686404097604
2021-12-21,0.016660758675703054,5396.116486402585
2021-12-22,0.016100731109037508,5482.997906983197
2021-12-23,0.0032373922851796424,5500.74852210692
2021-12-27,0.018812058991816413,5604.2289278039425
2021-12-28,-0.0023162773103936355,5591.247979496218
2021-12-29,0.004006677651519826,5613.65030781977
2021-12-30,-0.002641477204096493,5598.8219784998955
2021-12-31,-0.0017957549256809773,5588.767866353994
2022-01-03,-0.003070917026907082,5571.605223953776
2022-01-04,-0.011453154463084533,5507.792768716505
2022-01-05,-0.01215857693240051,5440.825846610346
2022-01-06,-0.012557637207508566,5372.501929519378
2022-01-07,-0.007506750501547632,5332.171897965393
2022-01-10,0.0038560715584333273,5352.733134365815
2022-01-11,0.008268367871032103,5396.991501036214
2022-01-12,0.0034841356537294583,5415.795351547848
2022-01-13,-0.02593966462240493,5275.311436465117
2022-01-14,-0.000926552018595025,5270.423586004943
2022-01-18,-0.01259631723273653,5204.035658564728
2022-01-19,-0.010338172385720917,5150.235440825048
2022-01-20,-0.010812987597970294,5094.546008876779
2022-01-21,-0.0096561102172653,5045.352511108135
2022-01-24,-0.00012763420049790664,5044.70855157415
2022-01-25,-0.00868140040695712,5000.9134167015345
2022-01-26,0.0012280242360752044,5007.054659579758
2022-01-27,0.003065044051419801,5022.401502679236
2022-01-28,0.03825241823161179,5214.520505486797
2022-01-31,0.011522073623749155,5274.6025946635655
2022-02-01,0.004462558798259001,5298.140818879701
2022-02-02,0.013336306165513548,5368.798446948286
2022-02-03,-0.01115264536484894,5308.92214183412
2022-02-04,-9.389881670665958e-05,5308.423640327014
2022-02-07,-0.00027660215471470235,5306.9553189099615
2022-02-08,0.009752591093037173,5358.711884084309
2022-02-09,0.009709214103274967,5410.740765084648
2022-02-10,-0.018715420425512292,5309.47647685263
