,portfolio_return,portfolio_value
2021-05-02,0.0,5000.0
2021-05-03,0.011862205288059533,5059.311026440298
2021-05-04,-0.005605271100095228,5030.952216557398
2021-05-05,0.009383370666130854,5078.159506008949
2021-05-06,0.0044049591185604435,5100.528591030447
2021-05-07,0.00864287842731376,5144.611839557762
2021-05-10,-0.015022609731883262,5067.32634367006
2021-05-11,-0.007596295480418456,5028.8334354678345
2021-05-12,-0.014656903716645802,4955.126307997133
2021-05-13,0.013193986980288258,5020.50417999053
2021-05-14,0.010643717374140944,5073.941007558043
2021-05-17,-0.0019946696443388237,5063.820171453101
2021-05-18,-0.0077267731399868035,5024.693181766593
2021-05-19,0.004698002576365278,5048.299203279977
2021-05-20,0.015148697469797755,5124.774360647487
2021-05-21,-0.0039306313060471386,5104.630762109099
2021-05-24,0.005179510539913422,5131.07025094381
2021-05-25,-0.005051691891633054,5105.1496649617175
2021-05-26,-0.0008583492572350806,5100.767663538724
2021-05-27,-0.0035727465862361966,5082.543913281633
2021-05-28,0.0030489320138533133,5098.040244130652
2021-06-01,0.0006436724852027051,5101.321712364256
2021-06-02,-0.001256016062291215,5094.9143703546115
2021-06-03,-0.0028071987608601044,5080.611933047464
2021-06-04,0.010737599879534484,5135.165511127716
2021-06-07,-0.00012250895329275584,5134.536407375963
2021-06-08,0.00017030775061348453,5135.410858721946
2021-06-09,0.0009595385835163145,5140.338483583099
2021-06-10,0.0006511719354605273,5143.685727742375
2021-06-11,-0.0013571437277921968,5136.7050069192355
2021-06-14,0.0027561281305125457,5150.86242408695
2021-06-15,-0.0013017094744050843,5144.1574976681595
2021-06-16,-0.0043597477874012976,5121.730268399657
2021-06-17,-0.009236167086789916,5074.425111867249
2021-06-18,-0.02128601323467953,4966.410831777653
2021-06-21,0.016177364692049997,5046.754271013867
2021-06-22,0.0018361992994220637,5056.021117670657
2021-06-23,-0.0009209188715318198,5051.364932408531
2021-06-24,0.008780591390502995,5095.718903844327
2021-06-25,-0.0011521814400430963,5089.84771109964
2021-06-28,0.0010875469379028621,5095.383159392239
2021-06-29,0.0020800057653732646,5105.981585740561
2021-06-30,0.0026736988818170594,5119.633442996934
2021-07-01,0.0054060985622435545,5147.310685992334
2021-07-02,0.004819204172392283,5172.116627126867
2021-07-06,-0.006324168099263077,5139.407292147923
2021-07-07,0.004567729560823724,5162.88271476138
2021-07-08,-0.014109558087110698,5090.036721200515
2021-07-09,0.014589382578013321,5164.297214262246
2021-07-12,0.000815876450797074,5168.51064274428
2021-07-13,-0.0052028547890741374,5141.619632394297
2021-07-14,0.002137673841755269,5152.610738186721
2021-07-15,-0.0021791733470294195,5141.382306198448
2021-07-16,-0.008422252162529786,5098.080287951675
2021-07-19,-0.01997218413176304,4996.260489722193
2021-07-20,0.016545654527719264,5078.926889715629
2021-07-21,0.008833899447146852,5123.793619158788
2021-07-22,-0.0047498681521020575,5099.456275029202
2021-07-23,0.00958079603111482,5148.313125469845
2021-07-26,0.0027468580333139024,5162.454810736556
2021-07-27,-0.0038167958992700833,5142.75077438477
2021-07-28,-0.002808560197242865,5128.3070492554925
2021-07-29,0.010084718355280358,5180.024581486633
2021-07-30,3.495365038046791e-05,5180.205642254817
2021-08-02,-0.001817720451265499,5170.7894765171295
2021-08-03,0.0072913920980464016,5208.491730046868
2021-08-04,-0.0010173550996376611,5203.192844423884
2021-08-05,0.00021033392079168036,5204.287252375487
2021-08-06,0.00701591838534196,5240.800106992028
2021-08-09,0.00015894801321634171,5241.633121756698
2021-08-10,0.004291044805858277,5264.125204338026
2021-08-11,0.001731863294212023,5273.241949555556
2021-08-12,0.007040611719577001,5310.368798625762
2021-08-13,0.0059669500553475975,5342.055504022638
2021-08-16,0.008228667828167878,5386.013504284875
2021-08-17,-0.008126527958209066,5342.243914959013
2021-08-18,-0.012591488231831361,5274.977113572235
2021-08-19,-0.0025104011695396837,5261.7348048570275
2021-08-20,0.004192010767151599,5283.792053812885
2021-08-23,0.00780444661694536,5325.029126831907
2021-08-24,-0.0033142000888342384,5307.3809148267155
2021-08-25,-0.00020664704981362319,5306.28416021843
2021-08-26,-0.0021447057232979426,5294.903742210564
2021-08-27,0.003541405332961747,5313.655142560747
2021-08-30,0.004293721612900506,5336.470498489859
2021-08-31,-0.007123867154405619,5298.454191585212
2021-09-01,-0.01965338661204297,5194.321622911788
2021-09-02,0.0005848909250873449,5197.359734491015
2021-09-03,-0.001097933949394577,5191.653376791301
2021-09-07,-0.005525968954122487,5162.964461410587
2021-09-08,0.00763963623496349,5202.40763178981
2021-09-09,-0.0036131164224265542,5183.610727339232
2021-09-10,-0.008545798886993186,5139.312632554931
2021-09-13,0.014743171131179697,5215.082398193322
2021-09-14,-0.008686454278169319,5169.781823384529
2021-09-15,0.01185099468884848,5231.048880315965
2021-09-16,-0.00012591449340111996,5230.390215446243
2021-09-17,-0.007490150948206404,5191.213803214529
2021-09-20,-0.01740471078751542,5100.8622283334225
2021-09-21,0.001111557304722877,5106.532129003711
2021-09-22,0.0039045133399161244,5126.4706518221155
2021-09-23,0.011288913552568898,5184.342935840317
2021-09-24,0.00024716746312269944,5185.624336731727
2021-09-27,0.0015549024457347967,5193.687476695574
2021-09-28,-0.017373586097388902,5103.454500156273
2021-09-29,0.0042685812990659565,5125.239010596273
2021-09-30,-0.011188065819571418,5067.897499204687
2021-10-01,0.00638895926084738,5100.276089865257
2021-10-04,-0.008060864315249163,5059.163456334543
2021-10-05,0.01666459932904374,5143.472388274498
2021-10-06,0.0037707482853195614,5162.867127963173
2021-10-07,0.011685054309140535,5223.195510744297
2021-10-08,0.004015112294163037,5244.167227254304
2021-10-11,-0.004151701705484814,5222.395009233064
2021-10-12,-0.008078403704783957,5180.206394042631
2021-10-13,0.0026979468277789354,5194.182315450678
2021-10-14,0.018139534200888582,5288.402363207446
2021-10-15,0.004612041336186799,5312.792693508946
2021-10-18,-0.0006490595756385505,5309.344374537842
2021-10-19,0.007858469730863283,5351.067696595877
2021-10-20,0.006426896831782956,5385.4584566217845
2021-10-21,0.004435995389276998,5409.348325504501
2021-10-22,0.004766017468147459,5435.129374115149
2021-10-25,0.0029539457531833012,5451.184451447819
2021-10-26,-0.002658100429617883,5436.6946557155
2021-10-27,-0.01943469393409923,5331.034159068515
2021-10-28,0.009278692264850523,5380.499184483918
2021-10-29,0.003784291917246576,5400.860564058513
2021-11-01,0.002477295719768594,5414.240092816921
2021-11-02,0.009808383540329292,5467.345036226698
2021-11-03,0.00995714090731064,5521.784161141292
2021-11-04,-0.006421139545735398,5486.328014501173
2021-11-05,0.010851485548446416,5545.862823664569
2021-11-08,-0.008271212934226177,5499.991811346031
2021-11-09,-0.000538735634061496,5497.028769770212
2021-11-10,-0.004593692709177784,5471.777108788378
2021-11-11,0.003108922359216781,5488.78843898654
2021-11-12,0.00731391295928604,5528.932959881223
2021-11-15,0.004795746429942032,5555.448320384961
2021-11-16,0.00335016473587544,5574.059987439893
2021-11-17,-0.0005344965371216977,5571.080671678898
2021-11-18,0.006907956574603372,5609.565455032468
2021-11-19,0.0008497340313897443,5614.3320937009175
2021-11-22,0.004373236044186265,5638.884893177122
2021-11-23,0.006698253797674589,5676.655575327495
2021-11-24,-0.0007512504243404991,5672.3909854176945
2021-11-26,-0.029326803374597712,5506.037890324509
2021-11-29,0.011379108611133882,5568.69169349553
2021-11-30,-0.014153342493105386,5489.876092718976
2021-12-01,0.0015860927218466548,5498.583545233478
2021-12-02,0.009734873493348731,5552.111560438933
