,Initial Value,Final Value,Total Return,CAGR,Annual Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown
Static,5000.0,10728.090984014689,1.1456181968029377,0.16537357101373118,0.14188906319370043,0.744747900309318,0.8405075769735307,0.720044513415072,-0.22967131605431879
Stop-Loss / Take-Profit,5000.0,9203.562999391212,0.8407125998782423,0.13011026148555538,0.12600519529067564,0.6534518808259594,0.7072314888105837,0.7924176284148308,-0.16419405225225836
Monthly Rebalance,5000.0,6155.188797475791,0.23103775949515826,0.044311751991463755,0.14239996208574346,0.21115371623338475,0.24707263431487708,0.2353798564347552,-0.1882563472620118
ML Portfolio,5000.0,6209.831510122658,0.2419663020245315,0.04847572192943983,0.17926315028679887,0.21594132893804338,0.2451783019310262,0.17494032854576722,-0.27709861032276384
