,Static,Stop-Loss / Take-Profit,Monthly Rebalance,ML Portfolio
2021-05-02,5000.0,5000.0,,
2021-05-03,5059.311026440298,5059.311026440298,,
2021-05-04,5030.952216557398,5030.952216557399,,
2021-05-05,5078.159506008949,5078.159506008949,,
2021-05-06,5100.528591030447,5100.528591030447,,
2021-05-07,5144.611839557762,5144.611839557761,,
2021-05-08,5144.611839557762,5144.611839557761,,
2021-05-09,5144.611839557762,5144.611839557761,,
2021-05-10,5067.32634367006,5067.326343670059,,
2021-05-11,5028.8334354678345,5028.833435467833,,
2021-05-12,4955.126307997133,4955.126307997131,,
2021-05-13,5020.50417999053,5020.504179990529,,
2021-05-14,5073.941007558043,5073.941007558042,,
2021-05-15,5073.941007558043,5073.941007558042,,
2021-05-16,5073.941007558043,5073.941007558042,,
2021-05-17,5063.820171453101,5063.8201714531,,
2021-05-18,5024.693181766593,5024.693181766593,,
2021-05-19,5048.299203279977,5048.299203279977,,
2021-05-20,5124.774360647487,5124.774360647487,,
2021-05-21,5104.630762109099,5104.630762109098,,
2021-05-22,5104.630762109099,5104.630762109098,,
2021-05-23,5104.630762109099,5104.630762109098,,
2021-05-24,5131.07025094381,5131.070250943809,,
2021-05-25,5105.1496649617175,5105.149664961717,,
2021-05-26,5100.767663538724,5100.767663538723,,
2021-05-27,5082.543913281633,5082.543913281632,,
2021-05-28,5098.040244130652,5098.040244130651,,
2021-05-29,5098.040244130652,5098.040244130651,,
2021-05-30,5098.040244130652,5098.040244130651,,
2021-05-31,5098.040244130652,5098.040244130651,,
2021-06-01,5101.321712364256,5101.321712364255,,
2021-06-02,5094.914370354612,5094.914370354611,,
2021-06-03,5080.611933047464,5080.611933047463,,
2021-06-04,5135.165511127716,5135.165511127715,,
2021-06-05,5135.165511127716,5135.165511127715,,
2021-06-06,5135.165511127716,5135.165511127715,,
2021-06-07,5134.536407375963,5134.536407375961,,
2021-06-08,5135.410858721946,5135.410858721944,,
2021-06-09,5140.338483583099,5140.3384835830975,,
2021-06-10,5143.685727742375,5143.685727742374,,
2021-06-11,5136.705006919236,5136.705006919235,,
2021-06-12,5136.705006919236,5136.705006919235,,
2021-06-13,5136.705006919236,5136.705006919235,,
2021-06-14,5150.86242408695,5150.862424086949,,
