,Initial Value,Final Value,Total Return,CAGR,Annual Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Sharpe Rank,CAGR Rank,Calmar Rank,Sortino Rank,Drawdown Rank,Volatility Rank,Final Score
Static,5000.0,10728.090984014689,1.1456181968029375,0.1653735710137311,0.1418890631937004,0.744747900309318,0.8405075769735307,0.720044513415072,-0.2296713160543187,4.0,4.0,3.0,4.0,3.0,3.0,3.6500000000000004
Stop-Loss / Take-Profit,5000.0,9203.562999391212,0.8407125998782423,0.1301102614855553,0.1260051952906756,0.6534518808259594,0.7072314888105837,0.7924176284148308,-0.1641940522522583,3.0,3.0,4.0,3.0,1.0,4.0,3.05
ML Portfolio,5000.0,6209.831510122658,0.2419663020245315,0.0484757219294398,0.1792631502867988,0.2159413289380433,0.2451783019310262,0.1749403285457672,-0.2770986103227638,2.0,2.0,1.0,1.0,4.0,1.0,1.7999999999999998
Monthly Rebalance,5000.0,6155.188797475791,0.2310377594951582,0.0443117519914637,0.1423999620857434,0.2111537162333847,0.247072634314877,0.2353798564347552,-0.1882563472620118,1.0,1.0,2.0,2.0,2.0,2.0,1.5
