,Initial Value,Final Value,Total Return,CAGR,Annual Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Sharpe Rank,CAGR Rank,Calmar Rank,Sortino Rank,Drawdown Rank,Volatility Rank,Final Score
Static,5000.0,9851.135290588503,0.9702270581177006,0.1630348440173754,0.1450279822791149,0.7221674892423546,0.8132338440765192,0.7098615831452658,-0.2296713160543187,4.0,4.0,3.0,4.0,3.0,2.0,3.5500000000000007
Stop-Loss / Take-Profit,5000.0,8978.667122024104,0.7957334244048209,0.1392605898397281,0.1288557287873524,0.684996536720374,0.7446577783697557,0.8481463727186415,-0.1641940522522584,3.0,3.0,4.0,3.0,1.0,4.0,3.05
ML Portfolio,5000.0,6032.794117516051,0.2065588235032103,0.0427061735765401,0.1808246560871937,0.1945722716518416,0.2228403520984567,0.1541190463813445,-0.2770986103227638,2.0,2.0,1.0,2.0,4.0,1.0,1.9500000000000002
Monthly Rebalance,5000.0,5808.489647143161,0.1616979294286322,0.0339442735694153,0.1442126842237484,0.1625686501541196,0.1902831107604212,0.1803087867320206,-0.1882563472620119,1.0,1.0,2.0,1.0,2.0,3.0,1.4500000000000002
