Date,ticker,ret_1m,ret_3m,vol_1m,vol_3m,drawdown,target_next_1m
2021-07-30,A,0.03666869629930303,0.1465878479497158,0.11057900023124498,0.155099928160393,0.0,0.15336422371598246
2021-08-02,A,0.035726368495838656,0.14926045498911322,0.1108177166235517,0.15482911395904472,-0.0010441819487045922,0.1463382766054746
2021-08-03,A,0.03386641580432759,0.1754010695187167,0.10990682332095478,0.14978765835489544,0.0,0.14032237098661104
2021-08-04,A,0.03550812189555663,0.1567069056009598,0.10994728170209153,0.14609987055010076,0.0,0.15395086536591696
2021-08-05,A,0.03712622917920916,0.17099697885196363,0.11039276294885109,0.14486872973305107,0.0,0.15634674922600622
2021-08-06,A,0.04616004837734322,0.16280806572068696,0.10834879878286659,0.1438132966843456,0.0,0.14142581888246641
2021-08-09,A,0.043391321735652744,0.1870781830590733,0.10690610360217594,0.13939811424713122,0.0,0.14175290660534046
2021-08-10,A,0.04688649588656291,0.19099071678587753,0.105351453965645,0.13896071970791107,-0.00012776287210924941,0.13231535905954495
2021-08-11,A,0.04856970590205667,0.21672885572139333,0.10476500701662637,0.1303006534132712,-0.00012776287210924941,0.13231535905954495
2021-08-12,A,0.06405167193702499,0.21635133056452838,0.10552516582964047,0.1302280299392576,0.0,0.08808093582042376
2021-08-13,A,0.06894468313641244,0.2141059855127716,0.1063108581821395,0.12995878515682438,0.0,0.08283614896690317
2021-08-16,A,0.08822936950245075,0.24563830604872772,0.11687371114986839,0.13126692464660364,0.0,0.07231443203554022
2021-08-17,A,0.09032389212630432,0.24978640776699024,0.11433415008435,0.12999995084787924,-0.007157401122971585,0.0768752718911192
2021-08-18,A,0.09189551239115867,0.25197757468704407,0.11564408950780855,0.1304777196145231,0.0,0.06698564593301426
2021-08-19,A,0.12567975830815703,0.26878547105561856,0.14036119593252236,0.13790490372815117,0.0,0.021888232838313426
2021-08-20,A,0.11862940785096465,0.2708238851095992,0.1401547702970673,0.1378149855606367,0.0,0.019687146850651205
