,Initial Value,Final Value,Total Return,CAGR,Annual Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown
Static,5000.0,9851.135290588503,0.9702270581177006,0.16303484401737545,0.1450279822791149,0.7221674892423546,0.8132338440765192,0.7098615831452658,-0.22967131605431879
Stop-Loss / Take-Profit,5000.0,8978.667122024104,0.7957334244048209,0.1392605898397281,0.12885572878735246,0.684996536720374,0.7446577783697557,0.8481463727186415,-0.16419405225225847
Monthly Rebalance,5000.0,5808.489647143161,0.16169792942863226,0.03394427356941532,0.14421268422374842,0.1625686501541196,0.19028311076042123,0.1803087867320206,-0.1882563472620119
ML Portfolio,5000.0,6032.794117516051,0.2065588235032103,0.04270617357654016,0.1808246560871937,0.19457227165184163,0.22284035209845673,0.15411904638134455,-0.27709861032276384
